Temperatura (°C),Humedad (%),Nivel de luz (%),Nivel UV,Nivel CO2
22.90,44.00,17.9,0,72
22.90,44.00,17.7,0,72
23.00,44.00,17.7,0,72
22.90,44.00,17.9,0,72
22.90,44.00,17.9,0,72
22.90,44.00,17.9,0,72
22.90,44.00,17.9,0,72
22.90,44.00,17.9,0,72
22.90,44.00,17.9,0,72
22.90,44.00,17.9,0,71
22.90,44.00,17.9,0,72
22.90,44.00,17.9,0,72
22.90,44.00,17.7,0,71
22.90,44.00,17.9,0,71
22.90,44.00,17.7,0,71
22.90,44.00,17.9,0,71
22.90,44.00,17.9,0,71
22.90,44.00,17.9,0,71
22.90,44.00,17.9,0,71
22.90,44.00,17.7,0,71
22.90,44.00,17.7,0,71
22.80,44.00,17.3,0,71
22.90,44.00,17.3,0,71
22.90,44.00,17.5,0,70
22.90,44.00,17.5,0,70
22.80,44.00,17.5,0,71
22.80,44.00,17.5,0,70
22.90,44.00,17.5,0,71
22.90,44.00,17.6,0,71
22.90,44.00,17.5,0,70
22.90,44.00,17.5,0,71
22.90,44.00,17.5,0,70
22.90,44.00,17.5,0,70
22.90,44.00,17.6,0,70
22.90,44.00,17.5,0,70
22.90,44.00,17.5,0,70
22.90,44.00,17.5,0,70
22.90,44.00,17.5,0,71
22.90,44.00,17.5,0,71
22.90,44.00,17.5,0,70
22.90,44.00,17.5,0,70
22.90,44.00,17.1,0,70
22.90,44.00,17.5,0,71
22.90,44.00,17.6,0,71
22.90,44.00,17.5,0,71
22.90,44.00,17.5,0,70
23.00,44.00,17.5,0,70
23.00,44.00,17.5,0,70
23.00,44.00,17.6,0,70
22.90,44.00,17.5,0,71
23.00,44.00,17.5,0,70
22.90,44.00,17.5,0,70
23.00,44.00,17.5,0,71
23.00,44.00,17.5,0,70
23.00,44.00,17.5,0,70
23.00,44.00,17.5,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,71
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
23.00,44.00,17.5,0,70
23.00,44.00,17.2,0,71
23.00,44.00,17.6,0,70
23.00,44.00,17.6,0,70
